row ID;row m/z;row retention time;20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area
190;351.0687591;0.4485401;0;411891.84;200270.33
191;543.1324322;0.4485349;0;364156.03;673987.56
192;174.0398959;0.45000803;244389.61;0;88960.875
193;365.1053544;0.4506743;4240409.5;3495559;5913939.5
194;369.029442;0.4506743;236666.33;153430.56;239411.6
195;234.0970532;0.45200676;0;97446.57;0
196;261.1727204;0.45200676;0;382284.38;0
197;289.0915896;0.45200676;0;72658.375;0
198;306.0030565;0.45200676;0;77382.18;0
199;180.0867243;0.45248175;0;114814.4;338388.03
200;335.0948386;0.45247862;0;188750.36;125546.766
201;342.1398249;0.45248175;0;119936.47;238151.05
202;163.0603186;0.4529567;0;0;187511.12
203;193.0709268;0.4529567;0;0;77382.46
204;271.0813487;0.4529567;0;0;86472.27
205;306.0487454;0.4529567;0;0;152258.67
206;362.0970617;0.4529567;0;0;95230.875
207;437.177189;0.4529567;0;0;331444.4
208;549.09366;0.4529567;0;0;229356.22
209;567.1039058;0.4529567;0;0;176316.52
210;729.1570668;0.4529567;0;0;105819.086
211;127.0392496;0.45331037;557063.44;319413.06;834302.3
212;145.0497927;0.45331037;357932.1;183756.16;580637.8
213;325.1128801;0.45331037;362226.8;235980.53;587001.25
214;343.1236041;0.45331037;257865.7;157857.73;535721.5
215;360.1497776;0.45331037;7768044.5;4610417.5;1.08E+07
216;362.1543645;0.45331037;218553.06;123378.836;265156.84
217;387.0397645;0.45331037;370467.5;236164.14;630192.5
218;156.1021448;0.4535445;1063485.5;741045.25;0
219;367.1101022;0.45396218;113375.414;0;88104.17
220;275.9926954;0.45593953;232591.78;210965.05;190311.61
221;396.034675;0.45642546;0;73052.34;184699.69
222;522.2029231;0.45858184;157405.17;192979.72;1403356.4
223;272.0876491;0.4598942;0;220160.8;0
224;274.1031965;0.4598942;0;144174.12;0
225;320.1702368;0.4598942;0;231633.38;0
226;322.1495689;0.4598942;0;273133.38;0
227;490.1765992;0.4598942;0;614910.1;0
228;236.1494087;0.46037441;0;90496.17;696841.94
229;171.0766391;0.46038586;0;81633.71;51125.242
230;203.1028846;0.4608546;0;0;213060.58
231;206.1026237;0.4608546;0;0;228766.12
232;323.1450579;0.4608546;0;0;212702.72
233;360.1875562;0.4608546;0;0;331729.72
234;527.1585481;0.46122766;97672.31;151406.14;650031.44
235;175.1079513;0.46139443;380387.4;390430.44;0
236;218.1023104;0.46139443;149300.88;123687.97;0
237;242.0869658;0.4638374;238152.89;268986.97;177952.52
238;130.0864873;0.46386793;6670091.5;2140122.2;201611.31
239;144.1021289;0.46648598;3843181.8;5776138.5;813416.94
240;126.0916672;0.46777123;0;64702.7;0
241;128.1072295;0.46777123;0;1068841.6;0
242;130.1228085;0.46777123;0;532085.44;0
243;140.1070827;0.46777123;0;260731.33;0
244;144.0656145;0.46777123;0;121659.984;0
245;152.056789;0.46777123;0;179357.2;0
246;158.1177126;0.46777123;0;3649164.5;0
247;160.1332588;0.46777123;0;1243695.5;0
248;174.0875844;0.46777123;0;559320.06;0
249;184.0970983;0.46777123;0;328780.72;0
250;186.1126098;0.46777123;0;3380121.2;0
251;200.1091209;0.46777123;0;177615.55;0
252;200.1280511;0.46777123;0;5.13E+07;0
253;200.1427579;0.46777123;0;511816.53;0
254;202.1073397;0.46777123;0;492352.6;0
255;204.1229301;0.46777123;0;291829.47;0
256;216.1232196;0.46777123;0;1102321.9;0
257;217.1185215;0.46777123;0;385323.75;0
258;232.0816729;0.46777123;0;127093.375;0
259;238.0376519;0.46777123;0;98126.65;0
260;263.0870455;0.46777123;0;74124.8;0
261;283.2380232;0.46777123;0;164915.23;0
262;290.1596595;0.46777123;0;362454.9;0
263;291.1297795;0.46777123;0;404679.97;0
264;300.1289628;0.46777123;0;178888.81;0
265;306.1545874;0.46777123;0;269841.28;0
266;334.1496175;0.46777123;0;70529.07;0
267;349.1337835;0.46777123;0;72806.625;0
268;380.0033359;0.46777123;0;58585.406;0
269;495.1320448;0.46777123;0;126458.86;0
270;506.1715589;0.46777123;0;205572.44;0
271;515.0917583;0.46777123;0;108784.22;0
272;173.0926097;0.4682681;0;164856.23;741064.8
273;142.058227;0.46876496;0;0;288493.3
274;201.0872571;0.46876496;0;0;91158.04
275;209.102175;0.46876496;0;0;6176378.5
276;211.1068057;0.46876496;0;0;83408.12
277;226.1286777;0.46876496;0;0;8534051
278;228.1338006;0.46876496;0;0;145251.88
279;231.0981201;0.46876496;0;0;44334.082
280;244.0930451;0.46876496;0;0;227640.53
281;244.1294547;0.46876496;0;0;203587.89
282;286.1134899;0.46876496;0;0;142637.16
283;291.105369;0.46876496;0;0;81913.586
284;316.1605345;0.46876496;0;0;280383.5
285;319.1002803;0.46876496;0;0;200264.56
286;343.0504544;0.46876496;0;0;53590.766
287;344.1552865;0.46876496;0;0;523206
288;388.1813167;0.46876496;0;0;181603.33
289;407.1661826;0.46876496;0;0;201439.58
290;440.182551;0.46876496;0;0;180478.48
291;136.061978;0.46912277;117842.86;2723690;4337387
292;340.1239406;0.46912277;420983.78;450081.6;263597.34
293;174.076146;0.46930167;446825.78;90146.664;0
294;192.0866633;0.4708321;1696245.8;0;0
295;233.0632413;0.4708321;209632.98;0;0
296;272.1121216;0.47222742;0;264420.88;161772.11
297;142.1141012;0.47566077;0;98191.51;0
298;197.1287598;0.47566077;0;104583.92;0
299;216.1596444;0.47566077;0;192764.88;0
300;277.0776743;0.47668362;0;0;49371.094
301;308.019012;0.47668362;0;0;151908
302;309.0270238;0.47668362;0;0;121754.88
303;345.079531;0.47668362;0;0;61238.555
304;352.0451976;0.47668362;0;0;90906.445
305;397.042155;0.47668362;0;0;85971.016
306;461.1137475;0.47668362;0;0;217859.53
307;256.1025355;0.47777975;113510.77;0;143572.23
308;142.1228238;0.48355862;0;2.10E+07;0
309;144.1384365;0.48355862;0;8494366;0
310;168.1020393;0.48355862;0;2490484.5;0
311;371.0086508;0.48355862;0;254440.62;0
312;381.0109699;0.48355862;0;155851.25;0
