row ID,row m/z,row retention time,20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_dbgi_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_00.mzML Peak area,20250402_PMA_tp24_dbgi_tp24_bk_01.mzML Peak area,
139,316.7966887309814,0.36956805,0,0,0,0,0,0,0,220230.52,222878.14,
140,285.89344513357344,0.36957115,0,0,0,0,0,0,0,2969331.5,2831005.2,
141,286.8917280035604,0.36957115,0,0,0,0,0,0,0,393612.22,372858.06,
142,287.88862589208793,0.36957115,0,0,0,0,0,0,0,2.3685046E7,2.2250288E7,
143,298.92521150043444,0.36957115,0,0,0,0,0,0,0,315176.97,303805.44,
144,330.91958598095005,0.36956805,0,0,0,0,0,0,0,443365.47,425585.25,
145,300.92051248289226,0.36957115,0,0,0,0,0,0,0,2564354.5,2361234.5,
146,305.8994418824009,0.36957115,0,0,0,0,0,0,0,2705784.0,2563419.5,
147,326.92002412198286,0.36957115,0,0,0,0,0,0,0,3173030.8,3075636.5,
148,328.91516229185265,0.36957115,0,0,0,0,0,0,0,2.5767782E7,2.4573282E7,
149,361.8208565374946,0.36957115,0,0,0,0,0,0,0,61481.812,56432.566,
150,364.7974888700852,0.36957115,0,0,0,0,0,0,0,402884.6,373945.8,
151,403.8276606993901,0.36956805,0,0,0,0,0,0,0,148811.86,145538.19,
152,141.95873620799887,0.37066376,0,1623537.6,0,0,0,0,0,3.8283436E7,3.6755332E7,
153,159.96930834431956,0.37066376,0,443224.8,0,0,0,0,0,6606154.0,6395587.0,
154,182.98529504318267,0.37066376,0,4914523.5,0,0,0,0,0,8.8618136E7,8.7625976E7,
155,244.94700083189184,0.372849,0,118595.805,0,0,0,0,0,0,0,
156,260.92469687459214,0.372849,0,77038.9,0,0,0,0,0,0,0,
157,272.9420073582219,0.372849,0,92529.4,0,0,0,0,0,0,0,
158,288.91945974539544,0.372849,0,99129.72,0,0,0,0,0,0,0,
159,154.99037549558213,0.37329015,0,392867.47,0,0,0,0,0,2.1916588E7,2.08981E7,
160,156.9889232480397,0.37338543,0,0,0,0,0,0,0,0,55337.39,
161,287.8634784002016,0.37338543,0,0,0,0,0,0,0,0,144378.53,
