cluster index	parent mass	RTMean
204	215.1391527688896	0.47879872
205	144.13837190376597	0.48115262
206	137.98769498035892	0.48202354
207	162.99843001770262	0.48202354
208	267.9019591252926	0.48202354
209	298.9203811148982	0.48202354
210	142.12282157672385	0.48355862
211	168.10203933928975	0.48355862
212	284.9046228309404	0.48363808
213	271.90851927968515	0.48666096
214	290.912564827506	0.48666096
215	321.9617508362371	0.48913383
216	229.1549059173321	0.4903164
217	279.92435615508555	0.49132657
218	277.9718691931811	0.49147314
219	172.9773023623265	0.49407974
220	182.0293616002212	0.49415603
221	186.00887274176432	0.4947971
222	281.9174877248879	0.4949172
223	167.01756820481285	0.4950726
224	144.9977251908777	0.49665695
225	214.00352534154	0.49907547
226	154.99047567342132	0.4993905
227	128.9510551383831	0.500469
228	266.9460302004905	0.50091696
229	247.0426698933	0.5011677
230	168.01376307308428	0.50157076
231	222.061064077498	0.5017941
232	245.9909618015113	0.50491583
233	306.9972076963861	0.50731885
234	196.0086785750596	0.50976217
235	169.97766193142996	0.5198314
236	229.97482443609115	0.5200085
237	252.9302138616488	0.52390194
238	254.1600430037412	0.52487916
239	312.9669299251998	0.536078
240	379.9670008461528	0.5390957
241	182.98545513072395	0.5393993
242	284.1340881653508	0.54149586
243	231.97531529388343	0.54308754
244	153.99808247125884	0.5440903
245	225.19615636916305	0.56296223
246	137.06537440031573	0.5739413
247	136.06201888978853	0.5740276
248	174.11266790059585	0.5789538
249	238.9146502114081	0.58207446
250	256.0818058496097	0.58212453
251	124.03967615110804	0.58397794
252	160.13338748875023	0.5869871
253	181.99321295308272	0.5890142
254	344.155500581744	0.59006613
255	141.9588523664083	0.59267604
256	156.10216367476116	0.59386665
257	162.07626759925964	0.595012
258	141.0548488796073	0.5980098
259	146.0926368341391	0.5980098
260	155.07052767229433	0.5980098
261	209.1022517145335	0.5980098
262	226.12875899780968	0.5980098
263	231.0841797902968	0.5980098
264	247.0581384709656	0.5980098
265	319.10024099734125	0.5980098
266	439.1789951391195	0.5980098
267	130.08653433652182	0.60244966
268	144.10213956643634	0.60244966
269	130.1228651230124	0.60299945
270	204.12319411023464	0.60299945
271	216.1595746252221	0.60299945
272	171.9931957017985	0.6062838
273	222.06108680469976	0.6080319
274	256.10291132067084	0.6080319
275	261.05838288737584	0.61170506
276	227.01643467992545	0.61207354
277	199.98817927403093	0.61636597
278	284.1342198649219	0.6242578
279	142.12273020511773	0.62687427
280	150.05859333533505	0.62687427
281	158.96160865605643	0.6282671
282	244.12950488815403	0.6302367
283	236.93885571168505	0.63286674
284	139.00280643324157	0.63323194
285	210.06100559100733	0.63323194
286	215.0163803918385	0.63323194
