formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C6H8ClFN2O6	[M + Na]+	C6H8ClFN2NaO6+	0.688	0.172	35.456	35.456	0.000	8	0.643	-2.955	2.955	-4.742		280.993	22	0.361	707548088084938399	707547789530165768	55	
1	C8H5ClFNO2	[M + Na]+	C8H5ClFNNaO2+	0.847	0.631	50.010	50.010	0.000	10	0.262	2.812	4.555	3.147		223.989	22	0.361	707548088290459348	707547789358199284	50	
1	C6H4ClFO3	[M + Na]+	C6H4ClFNaO3+	1.000	1.000	78.237	78.237	0.000	10	0.422	2.184	3.714	3.779		200.973	22	0.361	707548066324887469	707547789597274640	57	
1	C4H8N3O3	[M + Na]+	C4H8N3NaO3+	1.000	1.000	67.224	67.224	0.000	9	0.847	3.658	3.658	1.971		169.046	22	0.361	707548076630293209	707547789563720204	56	
1	C5H5ClO7	[M + Na]+	C5H5ClNaO7+	1.000	1.000	89.479	89.479	0.000	11	0.617	-3.176	3.176	0.209		234.962	22	0.361	707548087145414168	707547789630829076	58	
1	C6H6Cl3N3O3	[M - H2O + H]+	C6H5Cl3N3O2+	0.656	0.202	41.603	39.551	2.052	8	0.516	-0.633	2.196	-70367.588		255.945	22	0.362	707548059739829700	707547789664383512	59	
1	C8H7ClFNO2S	[M + Na]+	C8H7ClFNNaO2S+	0.999	1.000	76.127	76.127	0.000	22	0.508	0.775	2.356	4.376		257.977	22	0.363	707548088424677092	707547789463056896	53	
1	C7H14N2	[M + H]+	C7H15N2+	0.553	0.333	19.633	16.993	2.640	2	0.159	9.483	9.483	3.187		127.123	22	0.366	707548042081808991	707547789739880992	61	
1	C5H6AsNO7	[M + K]+	C5H6AsKNO7+	1.000	1.000	50.518	48.319	2.199	20	0.838	-0.200	0.463	0.879		305.899	22	0.366	707548062034114100	707547789886681644	64	
1	C5H6Br2Cl2FNO2	[M + H]+	C5H7Br2Cl2FNO2+	0.559	0.333	79.332	79.332	0.000	18	0.620	-1.139	1.139	-3.954		359.818	22	0.366	707548063602784000	707547789920236080	65	
1	C6H9Br2Cl2NO7S	[M + K]+	C6H9Br2Cl2KNO7S+	0.652	0.656	36.367	36.367	0.000	16	0.723	-0.939	1.170	3.124		505.749	22	0.366	707548065146287938	707547789949596212	66	
1	C4H4AsNO5	[M + K]+	C4H4AsKNO5+	1.000	0.993	35.706	33.550	2.157	9	0.452	0.184	0.729	1.109		259.894	22	0.366	707548073987881430	707547789794406948	62	
1	C3H8AsFN2O6	[M + K]+	C3H8AsFKN2O6+	1.000	1.000	59.199	59.199	0.000	15	0.788	-0.049	0.304	-2.904		300.921	22	0.366	707548075233589859	707547789848932904	63	
1	C3H5Cl2O3	[M + H]+	C3H6Cl2O3+	0.996	0.497	76.306	75.144	1.161	11	0.772	3.115	3.115	2.433		159.969	22	0.370	707548054664721573	707547790041870912	69	
